asof,meeting,assumed_node,delta_bp,prob_25bp_hike,implied_rate_after
2026-08-27,2026-10-22,0,60.1,1,3.601
2026-08-27,2026-11-26,0,-47.8,0,3.123
2026-08-27,2027-01-15,1,61.6,1,3.739
2026-08-27,2027-04-15,1,30.2,1,4.042
2026-08-27,2027-07-15,1,-65.7,0,3.384
